,op4trust,tr3cgmnz,tr3bcraz,qfnrincr,q4samesm,op7gdevo,q7wwhhx,q7jbmmcc,q7mgcc,q5gveqaa,opincdif,opnucpol,stalllf,nofutr,sfmhdprs,op5happz,opnbmtcn,wllive,mempltgp
18,3,3,3,2,1,6,6,4,6,4,4,4,2,2,2,1,3,2,2
51,3,3,2,2,3,6,6,6,1,1,6,2,3,3,3,2,1,1,2
58,2,3,3,1,4,4,7,4,5,1,1,4,3,4,3,4,2,3,2
78,2,4,2,2,4,6,6,4,1,1,4,2,2,4,5,1,2,1,2
88,2,3,3,1,2,6,6,6,5,2,4,2,3,3,3,1,1,1,2
93,2,3,3,2,3,6,6,6,1,3,4,2,3,3,3,2,3,2,2
107,2,3,3,2,4,6,6,4,1,2,1,2,3,4,4,2,1,3,2
110,3,3,3,2,2,5,6,6,4,1,4,2,4,2,3,1,3,2,2
148,2,3,2,2,2,6,4,6,1,1,5,2,3,4,3,2,2,2,2
155,2,3,2,2,4,6,4,6,4,4,3,4,3,3,3,1,2,2,2
165,3,3,2,2,4,5,4,5,1,1,4,2,3,4,3,3,3,2,2
188,2,3,2,1,1,6,6,4,4,1,3,2,4,4,3,5,4,1,2
199,2,2,4,2,3,5,6,4,2,1,3,2,3,4,3,5,4,2,2
206,2,3,2,2,4,5,7,4,4,1,5,2,3,1,3,2,3,3,2
213,2,3,3,2,4,5,1,5,2,2,4,2,3,3,5,2,1,2,2
222,2,3,2,2,3,5,7,6,1,1,4,2,2,3,3,1,1,1,2
223,2,3,2,2,4,6,4,7,1,1,1,2,3,3,3,1,2,1,2
226,4,3,2,2,4,6,7,6,2,3,4,2,3,2,4,2,1,4,2
227,3,3,3,2,3,6,7,6,6,4,1,2,3,5,5,2,2,1,2
228,2,3,2,1,2,5,6,6,1,2,4,4,2,3,3,2,2,1,2
231,2,3,3,2,4,4,6,6,1,1,1,4,2,2,4,1,1,1,2
241,2,2,3,2,4,6,6,6,2,1,6,2,3,2,3,2,3,1,2
249,1,3,2,2,2,6,6,4,2,1,1,4,2,2,3,1,2,1,2
