,op4trust,tr3cgmnz,tr3bcraz,qfnrincr,q4samesm,op7gdevo,q7wwhhx,q7jbmmcc,q7mgcc,q5gveqaa,opincdif,opnucpol,stalllf,nofutr,sfmhdprs,op5happz,opnbmtcn,wllive,mempltgp
18,2,3,3,2,2,3,7,4,4,2,4,2,3,3,3,2,3,2,2
51,2,3,2,2,4,3,4,4,3,3,3,2,3,3,3,3,3,2,2
58,2,3,3,2,2,4,5,4,4,2,4,2,3,3,3,2,3,2,2
78,2,2,2,2,2,5,4,4,2,2,3,2,3,3,3,3,3,2,2
88,2,2,3,2,2,5,7,7,4,3,3,4,3,3,3,3,3,2,2
93,3,4,4,2,4,4,7,4,4,3,4,3,3,3,3,2,3,2,2
107,3,3,3,2,3,4,4,4,3,3,4,2,3,3,3,3,3,2,2
110,3,3,2,2,4,3,4,7,4,3,4,3,3,3,3,3,3,2,2
148,2,3,2,2,2,5,4,7,4,2,3,3,3,3,3,3,3,2,2
155,3,4,4,2,4,4,4,7,4,3,4,2,3,3,3,5,3,2,2
165,2,3,2,2,3,5,4,7,4,2,3,3,3,3,3,3,3,2,2
188,3,3,3,2,4,3,4,4,4,3,4,4,3,3,3,2,3,2,2
199,3,2,2,2,2,3,4,4,3,2,4,3,3,3,3,2,3,2,2
206,3,3,2,2,2,5,7,4,4,3,4,3,3,3,3,3,3,2,2
213,3,3,2,2,4,3,4,7,4,3,4,3,3,3,3,3,3,2,2
222,2,2,2,2,2,5,4,4,3,2,3,2,3,3,3,3,3,2,2
223,3,3,3,2,4,3,4,4,4,3,4,4,3,3,3,2,3,2,2
226,3,3,2,2,4,4,4,7,4,3,4,2,3,3,3,3,3,2,2
227,3,3,3,2,4,4,7,7,4,3,4,3,3,3,4,3,3,2,2
228,3,3,2,2,4,4,4,4,4,3,3,4,3,3,3,3,3,2,2
231,2,3,2,2,2,6,4,7,3,3,4,2,3,3,3,2,3,2,2
241,2,3,2,2,2,3,4,4,2,2,4,4,3,3,3,3,2,2,2
249,2,2,2,2,2,5,5,4,2,2,3,2,3,3,3,3,3,2,2
251,3,3,3,2,2,4,4,7,3,3,4,4,3,3,3,2,2,2,2
272,3,3,3,2,2,3,4,4,4,3,4,3,3,3,3,3,3,2,2
274,3,3,2,2,2,5,4,4,4,3,2,2,3,3,3,2,3,2,2
287,2,3,2,2,3,4,5,4,2,2,3,3,3,3,3,3,3,2,2
305,2,3,2,2,4,5,4,4,3,2,3,4,3,3,3,3,3,2,2
309,3,3,2,2,2,5,4,4,2,2,3,2,3,3,3,3,3,2,2
320,3,3,4,2,4,3,7,7,4,3,4,4,3,5,3,2,3,2,2
322,2,2,2,2,2,5,4,4,4,3,4,3,3,3,3,2,3,2,2
333,2,2,2,2,4,4,4,4,3,2,3,3,3,3,3,3,3,2,2
348,3,3,4,2,3,3,4,7,4,3,4,2,3,5,3,3,3,2,2
351,3,3,2,2,2,5,4,4,4,3,3,4,3,3,3,3,3,2,2
369,3,3,2,2,2,3,4,7,4,3,4,2,3,3,3,3,3,2,2
378,3,3,3,2,2,4,4,4,3,3,3,4,3,3,3,2,3,2,2
382,2,3,2,2,2,5,4,4,3,3,4,2,3,3,3,2,3,2,2
392,3,3,3,2,3,3,7,7,4,3,4,2,3,3,3,3,3,2,2
398,3,3,3,2,4,3,4,7,4,3,4,4,3,3,3,2,3,2,2
402,2,3,2,2,2,4,4,7,3,3,4,2,3,5,3,3,3,2,2
414,3,2,2,2,3,5,7,4,4,3,3,2,3,3,3,3,3,2,2
427,2,3,2,2,2,5,4,4,2,2,3,3,3,3,3,2,3,2,2
428,3,3,3,2,2,3,4,4,4,3,4,2,3,3,3,3,3,2,2
441,3,3,4,2,4,5,7,4,4,3,4,3,5,5,4,3,3,2,2
453,2,3,2,2,2,5,4,7,4,3,3,4,3,3,3,3,3,2,2
463,2,2,2,1,2,5,5,4,2,2,2,2,3,3,3,3,3,2,2
464,3,3,3,2,2,4,4,5,2,3,3,2,3,3,3,2,3,2,2
467,2,3,2,2,2,3,7,7,4,3,2,2,3,3,3,3,3,2,2
474,2,3,3,2,2,3,6,7,5,2,3,3,3,3,3,2,3,2,2
476,3,3,3,2,4,3,7,4,4,3,4,3,3,3,3,3,3,2,2
