,op4trust,tr3cgmnz,tr3bcraz,qfnrincr,q4samesm,op7gdevo,q7wwhhx,q7jbmmcc,q7mgcc,q5gveqaa,opincdif,opnucpol,stalllf,nofutr,sfmhdprs,op5happz,opnbmtcn,wllive,mempltgp
18,3,3,2,2,3,2,6,7,1,2,1,2,2,3,3,1,3,1,2
51,3,2,3,2,1,2,1,4,1,3,1,1,2,3,5,5,4,3,2
58,1,3,3,2,4,5,4,6,1,1,1,2,3,3,5,3,4,2,2
78,1,3,2,1,4,5,6,7,2,4,1,3,4,5,5,1,4,1,2
88,2,2,2,2,3,4,3,7,1,1,1,2,3,5,4,1,2,1,2
93,1,3,3,2,1,5,4,7,1,2,1,2,1,1,5,1,3,1,2
107,2,3,3,2,4,6,7,3,2,1,1,2,4,3,3,2,4,3,2
110,4,3,2,2,3,4,7,6,1,1,2,4,2,3,3,5,2,2,2
148,3,1,2,2,3,5,6,6,1,1,2,3,3,3,4,1,2,2,2
155,1,3,3,1,4,2,5,1,2,2,4,2,3,3,5,1,3,3,2
165,1,3,2,2,4,3,7,4,5,1,1,1,3,3,5,1,4,2,2
188,1,3,2,2,2,2,6,4,4,1,3,4,3,3,5,1,2,1,2
199,2,3,4,2,4,5,7,6,1,3,4,3,2,3,5,4,3,3,2
206,2,3,3,2,4,5,5,5,1,3,1,2,4,3,5,5,3,2,2
213,3,3,3,2,4,5,1,1,1,5,1,4,5,3,5,2,3,2,2
222,2,3,3,1,2,4,1,1,1,1,2,1,2,4,4,1,2,1,2
223,3,2,3,2,4,5,4,3,1,4,1,2,2,4,5,3,5,1,2
226,4,4,3,2,3,6,4,4,2,2,3,1,3,3,3,1,3,1,2
227,3,1,3,2,4,3,4,7,1,1,1,3,3,4,5,2,4,1,2
228,3,3,3,1,2,3,7,6,1,2,1,4,4,3,5,1,4,1,2
231,1,3,1,2,4,4,4,4,1,3,1,4,1,2,5,1,4,2,2
241,1,2,2,1,4,4,4,4,3,1,4,2,3,3,5,4,3,1,2
249,2,3,1,1,1,6,6,1,1,1,1,3,1,3,5,1,5,2,2
251,3,3,3,2,4,3,4,6,1,5,1,3,5,3,3,3,4,1,2
272,4,3,3,2,4,5,4,7,3,3,3,1,5,4,3,5,3,2,2
274,1,2,2,2,2,4,3,6,1,1,1,2,3,3,5,1,5,1,2
287,3,2,3,1,4,5,7,7,1,2,1,2,3,4,5,1,1,1,2
305,1,3,3,2,3,4,6,7,1,1,1,4,3,2,5,3,3,3,2
309,1,2,3,2,3,6,6,4,1,2,1,3,1,3,5,1,4,1,2
320,2,3,3,1,4,6,5,1,1,4,3,2,5,4,5,5,3,1,2
322,1,3,1,2,4,4,6,4,1,5,1,2,3,3,5,1,1,2,2
333,2,2,3,1,3,3,3,1,1,1,2,4,1,3,3,3,2,2,2
348,4,3,3,1,2,3,6,6,1,2,1,4,4,2,5,2,5,1,2
351,3,3,3,2,3,5,4,6,1,1,1,2,4,2,5,3,3,1,2
369,1,4,1,2,2,3,7,3,1,2,1,2,2,4,4,2,2,1,2
378,3,3,2,2,4,4,6,1,1,1,1,5,1,3,5,1,3,1,2
382,2,3,1,2,2,6,6,7,1,1,1,2,3,3,3,2,3,2,2
392,3,3,4,2,4,6,4,6,1,2,3,2,4,5,3,1,2,4,2
398,2,1,3,2,4,4,5,6,1,2,1,2,5,3,5,1,4,2,2
402,3,3,3,2,3,4,4,4,1,1,1,2,1,5,5,3,2,1,2
414,2,3,3,2,2,6,4,4,1,3,1,2,3,5,5,1,2,1,2
427,3,3,3,2,2,4,4,6,1,5,4,2,5,5,3,2,4,1,2
428,4,3,2,2,4,2,6,7,1,3,3,4,3,1,5,5,5,3,2
441,1,3,2,2,4,5,6,6,2,1,1,2,1,3,5,1,5,1,2
453,2,2,2,2,4,4,6,4,1,3,2,3,2,5,5,3,5,3,2
463,1,3,2,1,1,4,2,6,1,2,1,2,1,5,4,1,2,3,2
464,1,2,1,2,3,3,4,6,1,2,3,2,2,4,5,2,2,1,2
467,3,2,3,2,4,4,4,6,1,1,1,2,2,4,5,1,3,1,2
474,4,3,3,2,2,6,6,4,1,2,1,1,3,3,5,5,4,1,2
476,3,3,2,2,4,3,6,6,1,1,1,1,3,3,5,1,4,2,2
484,1,2,3,2,4,2,3,6,1,1,2,2,3,5,5,1,4,1,2
498,2,4,2,2,1,6,7,6,1,2,1,2,3,3,4,5,2,2,2
529,1,3,2,2,2,3,7,6,4,1,4,2,2,5,5,1,4,1,2
544,3,3,3,2,4,5,4,6,1,5,1,2,2,3,5,1,4,1,2
551,2,1,2,2,3,5,7,7,1,1,1,2,2,2,3,2,3,1,2
560,1,2,3,1,3,7,4,5,1,1,2,5,5,2,3,1,3,3,2
594,1,3,1,2,2,5,6,7,2,1,1,3,4,3,3,2,5,1,2
596,2,3,3,2,4,7,1,4,1,3,4,1,3,4,5,1,3,3,2
616,2,3,2,1,2,4,1,6,2,1,3,2,2,2,5,1,3,1,2
673,3,3,4,2,3,3,5,6,1,3,1,2,2,2,3,5,4,2,2
680,1,2,2,2,2,5,7,3,3,1,1,2,1,3,5,1,2,1,2
685,3,2,2,2,4,4,2,6,1,2,1,2,1,4,4,5,3,1,2
691,3,4,3,2,4,4,6,6,4,3,1,2,2,2,5,1,2,2,2
694,3,3,2,2,4,5,6,6,2,3,1,2,3,3,4,5,4,1,2
701,2,3,2,2,4,5,6,6,1,1,1,2,2,3,3,2,3,2,2
710,1,3,3,2,1,4,6,6,2,2,1,2,1,3,3,1,4,1,2
716,3,4,2,2,2,2,5,4,1,3,4,4,5,3,5,2,3,1,2
717,1,2,1,2,3,5,6,5,1,2,1,2,4,3,5,1,3,1,2
748,1,3,2,1,4,4,6,4,1,1,3,2,2,3,5,1,3,1,2
768,1,4,2,1,2,3,5,4,1,1,1,2,3,3,5,2,3,3,2
775,2,2,3,1,2,6,5,5,5,2,4,2,3,2,3,1,2,3,2
779,1,3,1,1,2,7,6,6,1,2,2,2,1,3,5,1,4,1,2
797,3,2,1,1,2,5,7,6,1,1,1,2,4,2,4,1,4,1,2
801,3,3,4,2,2,4,6,4,1,2,1,4,3,3,3,2,4,3,2
812,3,3,3,2,4,5,4,7,6,2,4,2,5,5,3,1,2,2,2
815,2,3,2,2,4,4,6,5,1,1,4,3,1,3,3,1,3,1,2
822,2,2,1,2,4,7,1,6,1,2,1,2,3,3,5,2,4,1,2
856,2,2,2,2,4,2,2,6,1,1,4,1,4,3,3,1,4,3,2
864,1,3,3,2,4,2,6,6,1,3,3,2,5,3,3,1,1,2,2
873,1,3,3,2,4,3,4,4,1,5,1,2,3,3,5,2,3,1,2
878,3,3,2,2,4,6,6,6,1,2,1,1,3,5,5,4,4,3,2
880,3,4,3,2,4,5,1,6,1,3,1,2,1,5,3,3,5,2,2
887,2,2,3,2,4,4,5,4,1,1,1,3,3,3,5,1,3,3,2
890,1,2,3,2,4,3,5,4,2,3,3,2,2,3,3,3,3,1,2
