,op4trust,tr3cgmnz,tr3bcraz,qfnrincr,q4samesm,op7gdevo,q7wwhhx,q7jbmmcc,q7mgcc,q5gveqaa,opincdif,opnucpol,stalllf,nofutr,sfmhdprs,op5happz,opnbmtcn,wllive,mempltgp
18,3,3,2,2,4,4,6,4,4,2,2,4,5,4,3,3,3,4,2
51,3,3,2,2,2,6,7,6,2,2,1,4,4,4,5,1,4,3,2
58,4,3,3,2,3,4,4,1,2,2,1,2,5,2,3,2,5,1,2
78,2,3,2,2,3,2,6,6,1,2,1,2,3,3,5,1,3,1,2
88,1,3,2,2,2,6,6,7,1,5,1,4,1,5,4,1,3,3,2
93,2,2,3,1,2,2,2,4,3,1,1,2,2,3,5,1,3,2,2
107,4,3,3,2,4,3,1,4,2,3,3,4,2,3,3,1,4,2,2
110,1,3,3,2,4,6,4,4,2,3,1,4,5,4,4,2,5,3,2
148,4,3,2,1,3,5,1,2,1,2,3,2,2,2,3,1,3,1,2
155,3,3,2,2,1,5,5,1,2,1,1,2,1,4,3,1,3,3,2
165,1,3,2,1,2,6,1,6,1,2,1,2,3,3,5,2,3,1,2
188,3,3,3,2,2,4,6,4,1,4,1,2,2,4,3,1,3,1,2
199,2,3,3,2,1,2,4,4,1,3,1,3,5,4,3,1,4,2,2
206,3,2,2,2,2,2,6,6,1,2,1,2,5,2,5,5,3,2,2
213,3,3,3,2,4,6,6,3,1,2,4,1,1,5,5,2,4,3,2
222,4,3,1,2,2,4,1,4,1,1,1,2,4,3,3,1,3,3,2
223,3,3,2,2,3,2,7,4,1,2,1,5,3,2,3,1,3,1,2
226,1,2,3,2,2,2,3,6,1,4,5,2,2,2,3,2,3,2,2
227,4,2,2,2,4,4,5,4,1,2,1,4,5,3,3,1,4,3,2
228,3,3,2,2,2,4,6,3,1,2,1,4,3,5,3,2,3,1,2
231,2,3,2,1,4,4,2,6,1,2,1,4,2,3,5,1,2,1,2
241,3,2,1,2,2,4,5,1,1,2,5,2,3,2,5,1,2,2,2
249,4,3,2,2,1,5,1,6,1,1,1,2,1,3,5,1,4,3,2
251,2,3,2,2,4,5,6,6,1,2,1,5,2,3,5,2,4,3,2
272,3,3,2,2,4,5,4,4,1,2,1,5,3,2,3,5,4,1,2
274,2,2,2,1,3,5,5,4,1,3,1,1,2,3,3,2,3,3,2
287,2,3,2,2,2,4,3,2,1,3,1,2,1,3,5,3,3,3,2
305,3,3,3,2,3,5,3,1,1,2,1,2,2,2,5,5,4,2,2
309,1,1,3,1,2,2,1,6,1,2,1,2,1,2,3,1,5,1,2
320,3,3,2,1,2,6,4,6,1,2,1,2,3,3,4,1,3,1,2
322,1,3,3,1,2,4,6,4,1,1,1,2,2,2,3,1,3,1,2
333,1,3,3,1,4,6,7,6,1,2,2,4,4,2,3,1,1,1,2
