,op4trust,tr3cgmnz,tr3bcraz,qfnrincr,q4samesm,op7gdevo,q7wwhhx,q7jbmmcc,q7mgcc,q5gveqaa,opincdif,opnucpol,stalllf,nofutr,sfmhdprs,op5happz,opnbmtcn,wllive,mempltgp
0,1,3.0,3.0,2,3.0,,7.0,2.0,1.0,1.0,1.0,5.0,,,4.0,1.0,1.0,2.0,2
1,3,3.0,3.0,1,3.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,5.0,3.0,2.0,2.0,2
2,1,3.0,2.0,2,3.0,4.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,5.0,1.0,2.0,1.0,2
3,1,,3.0,1,3.0,6.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,1.0,2.0,2
4,1,3.0,3.0,2,,6.0,2.0,2.0,1.0,3.0,3.0,3.0,,,1.0,3.0,3.0,3.0,2
5,1,3.0,2.0,1,2.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,5.0,1.0,1.0,2.0,2
6,1,3.0,,2,2.0,6.0,,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2
7,1,3.0,3.0,1,3.0,,4.0,3.0,1.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,2
8,2,3.0,3.0,2,2.0,,2.0,2.0,3.0,1.0,2.0,5.0,2.0,4.0,3.0,,2.0,2.0,2
9,1,3.0,2.0,2,,4.0,2.0,2.0,2.0,2.0,4.0,5.0,1.0,4.0,3.0,1.0,4.0,2.0,2
10,1,3.0,3.0,1,2.0,7.0,4.0,2.0,6.0,2.0,,3.0,,4.0,3.0,2.0,,1.0,2
11,1,3.0,3.0,1,3.0,3.0,7.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,2
12,1,3.0,,2,2.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,2
13,1,3.0,1.0,1,3.0,6.0,,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,2
14,2,3.0,3.0,2,,5.0,6.0,,1.0,2.0,4.0,,2.0,3.0,,2.0,2.0,1.0,2
15,1,,3.0,1,2.0,5.0,2.0,2.0,2.0,2.0,1.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,2
16,1,2.0,3.0,1,,6.0,2.0,2.0,1.0,2.0,4.0,,,3.0,5.0,1.0,2.0,2.0,2
17,1,3.0,3.0,1,2.0,,6.0,3.0,1.0,1.0,1.0,,1.0,3.0,3.0,1.0,1.0,2.0,2
18,3,2.0,3.0,2,3.0,5.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2
19,1,3.0,,2,,5.0,,2.0,6.0,3.0,3.0,5.0,3.0,2.0,5.0,3.0,3.0,2.0,2
20,1,3.0,2.0,2,,6.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,5.0,,2.0,2.0,2
21,3,4.0,2.0,2,2.0,,6.0,2.0,3.0,3.0,1.0,,,1.0,4.0,3.0,3.0,2.0,2
22,2,3.0,3.0,2,,5.0,4.0,2.0,2.0,2.0,1.0,,,2.0,3.0,3.0,2.0,2.0,2
23,2,3.0,2.0,2,3.0,,6.0,2.0,1.0,2.0,,3.0,3.0,2.0,4.0,2.0,3.0,1.0,2
24,1,2.0,1.0,1,,6.0,4.0,2.0,1.0,1.0,3.0,3.0,1.0,,3.0,1.0,1.0,,2
25,1,3.0,2.0,2,,4.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2
26,1,3.0,3.0,2,2.0,5.0,4.0,2.0,1.0,2.0,3.0,3.0,1.0,4.0,3.0,1.0,2.0,2.0,2
27,1,3.0,3.0,2,2.0,6.0,4.0,2.0,1.0,1.0,4.0,3.0,1.0,4.0,4.0,1.0,2.0,1.0,2
28,3,,2.0,1,,5.0,2.0,,6.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,2
29,3,3.0,3.0,2,,3.0,3.0,2.0,2.0,,4.0,3.0,3.0,3.0,4.0,2.0,,1.0,2
30,3,3.0,2.0,2,,5.0,2.0,2.0,2.0,2.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,2.0,2
31,2,3.0,3.0,2,,7.0,4.0,,2.0,2.0,4.0,4.0,,3.0,5.0,2.0,2.0,2.0,2
32,1,,2.0,1,,3.0,2.0,,,2.0,1.0,3.0,2.0,,3.0,2.0,3.0,2.0,2
33,3,3.0,3.0,2,3.0,6.0,2.0,3.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,,3.0,2
34,2,3.0,,2,,3.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,3.0,5.0,2.0,3.0,3.0,2
35,3,3.0,4.0,2,3.0,5.0,2.0,2.0,1.0,2.0,4.0,5.0,2.0,3.0,4.0,2.0,3.0,2.0,2
36,3,3.0,2.0,1,,6.0,4.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2
37,1,2.0,2.0,1,2.0,,,2.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,2
38,1,3.0,3.0,1,1.0,5.0,2.0,2.0,1.0,,1.0,3.0,2.0,4.0,5.0,2.0,2.0,3.0,2
39,1,3.0,2.0,2,3.0,4.0,2.0,6.0,1.0,2.0,3.0,3.0,1.0,3.0,5.0,1.0,1.0,2.0,2
40,2,3.0,2.0,1,,7.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,,2.0,2.0,2.0,2
41,1,2.0,3.0,1,2.0,,2.0,2.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,2
42,1,3.0,,1,2.0,6.0,4.0,2.0,1.0,1.0,,3.0,1.0,3.0,3.0,1.0,3.0,1.0,2
43,1,3.0,2.0,2,3.0,6.0,,,2.0,,,3.0,,3.0,4.0,2.0,3.0,2.0,2
44,2,3.0,3.0,2,,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2
45,2,2.0,3.0,2,,3.0,3.0,3.0,2.0,2.0,2.0,5.0,3.0,3.0,3.0,3.0,2.0,1.0,2
46,2,3.0,3.0,1,3.0,5.0,2.0,2.0,2.0,2.0,4.0,,2.0,3.0,3.0,2.0,2.0,2.0,2
47,1,3.0,2.0,2,,,2.0,,1.0,2.0,4.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,2
48,1,,3.0,2,3.0,4.0,4.0,2.0,3.0,1.0,1.0,,1.0,3.0,2.0,1.0,1.0,1.0,2
49,1,3.0,2.0,1,,5.0,7.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,2
