,op4trust,tr3cgmnz,tr3bcraz,qfnrincr,q4samesm,op7gdevo,q7wwhhx,q7jbmmcc,q7mgcc,q5gveqaa,opincdif,opnucpol,stalllf,nofutr,sfmhdprs,op5happz,opnbmtcn,wllive,mempltgp
0,1,3.0,3.0,2,3.0,5.0,6.0,2.0,1.0,2.0,6.0,5.0,2.0,2.0,4.0,2,2.0,2,2
1,2,3.0,3.0,2,3.0,6.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,3,2.0,2,2
2,1,3.0,3.0,1,3.0,,2.0,2.0,1.0,,,,2.0,3.0,3.0,2,3.0,2,2
3,1,3.0,3.0,2,3.0,5.0,7.0,2.0,2.0,2.0,,5.0,3.0,4.0,5.0,2,1.0,2,2
4,1,3.0,3.0,2,3.0,4.0,7.0,3.0,2.0,1.0,4.0,3.0,3.0,4.0,3.0,3,2.0,2,2
5,1,4.0,3.0,2,,6.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2,3.0,2,2
6,1,3.0,,2,3.0,6.0,7.0,7.0,4.0,2.0,1.0,3.0,2.0,2.0,3.0,2,2.0,2,2
7,1,2.0,3.0,2,4.0,5.0,,3.0,,2.0,4.0,3.0,2.0,3.0,4.0,3,2.0,2,2
8,2,3.0,3.0,2,2.0,,4.0,2.0,1.0,1.0,4.0,5.0,,3.0,2.0,2,2.0,2,2
9,2,2.0,3.0,2,2.0,6.0,7.0,3.0,1.0,1.0,4.0,5.0,2.0,4.0,3.0,2,2.0,2,2
10,2,2.0,,2,,5.0,6.0,2.0,2.0,2.0,1.0,,,4.0,1.0,3,3.0,2,2
11,1,3.0,3.0,2,3.0,6.0,,2.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,2,1.0,1,2
12,1,,2.0,1,3.0,6.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,2,2.0,2,2
13,1,,3.0,1,,5.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,1,2.0,1,2
14,1,3.0,2.0,1,2.0,5.0,,2.0,1.0,2.0,4.0,3.0,3.0,3.0,4.0,2,2.0,2,2
15,1,3.0,2.0,1,2.0,4.0,6.0,2.0,6.0,2.0,2.0,5.0,2.0,3.0,3.0,2,2.0,1,2
16,1,,2.0,1,,,7.0,2.0,1.0,2.0,,,2.0,4.0,3.0,1,2.0,2,2
17,2,3.0,3.0,1,,5.0,2.0,4.0,1.0,2.0,4.0,5.0,2.0,3.0,3.0,2,2.0,2,2
18,2,3.0,3.0,2,3.0,4.0,4.0,3.0,1.0,2.0,6.0,3.0,3.0,3.0,3.0,2,2.0,2,2
19,1,3.0,3.0,2,2.0,6.0,6.0,7.0,7.0,2.0,4.0,5.0,3.0,3.0,5.0,3,2.0,1,2
20,3,4.0,2.0,2,2.0,5.0,6.0,2.0,7.0,3.0,1.0,4.0,3.0,2.0,3.0,2,3.0,3,2
21,4,3.0,3.0,1,2.0,,,2.0,3.0,1.0,4.0,5.0,3.0,,3.0,3,2.0,2,2
22,1,2.0,2.0,1,2.0,5.0,4.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,2,3.0,1,2
23,3,3.0,,2,,4.0,,3.0,2.0,2.0,4.0,3.0,2.0,3.0,,2,2.0,2,2
24,1,3.0,,1,2.0,5.0,7.0,,1.0,1.0,3.0,2.0,2.0,4.0,5.0,2,,1,2
25,1,3.0,3.0,1,2.0,6.0,6.0,2.0,1.0,2.0,3.0,3.0,2.0,,3.0,2,2.0,2,2
26,1,3.0,3.0,2,2.0,5.0,2.0,2.0,1.0,1.0,2.0,3.0,,3.0,2.0,2,2.0,2,2
27,1,4.0,2.0,2,,5.0,2.0,2.0,2.0,1.0,4.0,4.0,,3.0,4.0,2,3.0,1,2
28,1,3.0,3.0,1,3.0,4.0,4.0,6.0,2.0,2.0,4.0,,2.0,3.0,3.0,2,3.0,2,2
29,3,3.0,3.0,2,2.0,5.0,4.0,,3.0,2.0,4.0,,2.0,3.0,3.0,2,3.0,2,2
30,1,3.0,3.0,1,,5.0,3.0,2.0,1.0,2.0,3.0,,2.0,3.0,3.0,2,2.0,2,2
31,3,3.0,2.0,2,,,4.0,,4.0,,4.0,4.0,2.0,4.0,3.0,2,3.0,2,2
32,1,3.0,,1,2.0,5.0,4.0,2.0,4.0,3.0,4.0,3.0,,3.0,1.0,2,2.0,2,2
33,3,3.0,3.0,2,4.0,4.0,6.0,,2.0,2.0,6.0,3.0,3.0,4.0,4.0,3,3.0,1,2
34,1,3.0,2.0,2,,2.0,,3.0,2.0,2.0,1.0,5.0,3.0,3.0,3.0,2,2.0,1,2
35,1,3.0,3.0,2,2.0,5.0,2.0,3.0,4.0,2.0,1.0,5.0,2.0,4.0,3.0,2,2.0,1,2
36,2,3.0,2.0,2,2.0,6.0,7.0,3.0,1.0,1.0,2.0,3.0,2.0,4.0,3.0,2,2.0,2,2
37,2,2.0,,2,,4.0,4.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,2,2.0,2,2
38,1,2.0,3.0,1,,4.0,2.0,2.0,,2.0,4.0,3.0,2.0,,3.0,2,2.0,2,2
39,1,2.0,3.0,1,3.0,6.0,3.0,6.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,2,2.0,2,2
40,1,,,2,,6.0,2.0,,1.0,1.0,4.0,3.0,2.0,3.0,3.0,2,2.0,2,2
41,3,3.0,2.0,2,3.0,6.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,4.0,2.0,2,2.0,2,2
42,2,3.0,2.0,2,2.0,7.0,2.0,2.0,1.0,2.0,6.0,,2.0,3.0,3.0,2,1.0,2,2
43,3,,,2,,5.0,2.0,2.0,1.0,2.0,4.0,3.0,2.0,4.0,4.0,2,2.0,2,2
44,1,3.0,2.0,2,,4.0,2.0,2.0,2.0,1.0,,3.0,2.0,3.0,3.0,2,2.0,2,2
45,1,3.0,3.0,2,,,7.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,4.0,2,2.0,2,1
46,1,3.0,3.0,1,2.0,,2.0,2.0,1.0,2.0,4.0,3.0,2.0,3.0,3.0,1,3.0,1,2
47,1,3.0,1.0,1,2.0,,6.0,2.0,1.0,2.0,4.0,5.0,2.0,3.0,3.0,3,2.0,2,2
48,1,,3.0,1,,5.0,7.0,2.0,1.0,2.0,4.0,3.0,2.0,,3.0,2,3.0,2,2
49,1,3.0,2.0,1,2.0,3.0,4.0,,1.0,1.0,1.0,3.0,2.0,3.0,3.0,2,3.0,2,2
